# TM102 capture — label=buzz-1 port=/dev/cu.usbserial-0001 started=20260826-132616
[CH: 50] LEN: 12 | HEX: F1 77 76 FF FE 70 F7 7D 92 9E AD BD | T:381468 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 7A FD FA 73 F5 EE A5 1C BF DF | T:381468 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 76 FD F4 70 F7 FB 92 9D AF 7F | T:381480 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 F4 FE FF 70 F6 BF 92 9E AF EF | T:381480 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BA FE EA 70 FE FD 92 9E BD DF | T:381491 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 7A F6 F6 70 FE FD 92 9C BF FF | T:381502 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 F6 F5 FD 73 FB ED 25 1C A7 77 | T:381503 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FA F6 EE 70 EF FB 92 9C B7 FF | T:381514 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 F6 ED FA 73 FB EE A5 1C AF FF | T:381514 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 EA F6 FE 70 F7 FE 92 9E BF FB | T:381526 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 6A ED FA 73 DB EE 25 1C BB EF | T:381526 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 EE F6 FE 70 FF F7 92 9E AF FF | T:381537 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FA ED DC 77 BF EF 25 1C BF FA | T:381548 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 7E EE FB 70 FF 7D 92 9D BB 7A | T:381549 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 F6 F5 FD 73 DB F7 25 1C BF EF | T:381560 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 5E F5 FF 73 F5 F7 A5 1C AE FF | T:381560 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 EE D6 EE 70 EF FB 92 9A AF FF | T:381572 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 7A ED EC 73 FF F7 25 1C B7 BF | T:381572 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 7E FD FD 73 FB EE A5 1C BF FF | T:381583 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FA FD FD 73 FB EE 25 1C AE FF | T:381594 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 FE FF FF 70 FE FF 52 9E BF 7F | T:381595 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 F6 DE EE 70 FE F7 52 9D AF FF | T:381606 RPD:1
